claim_id,manuscript_location,claim_text_short,run_id,script,output_table,output_figure,config_file,sha256_of_output
C01,Abstract,CVAP forensic false alarm chi2~12684,vote14,scripts/stage21_vote14.py,vote14_beber_scacco.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,7910ae2a0cd149b8bbc64af39912e6ae542aff177d888191c89bf5ecfd1f825a
C02,Abstract,quotient signal recovered 6/6 at 5% mixture,power13,scripts/stage20_power13.py,power13_quotient_spikein.csv,fig13_quotient_recovery.png,run_config_power13.json,de2ddf261329e40ca9ab1e9249c6400c43e17e11341cd697ab5145d93e4d3878
C03,Abstract,one additive unit destroys detection (AUC 0.44),hard10,scripts/stage17_hard10.py,hard10_degradation.csv,fig10_degradation.png,run_config_hard10.json,64a7327f426d5550b16a2d3875ec87a480ef2a44571033f390d3d4bc48af4ff2
C04,Abstract,~19000 integer channels profiled,corpus,scripts/stage9_build03.py,family_profiles_v3.csv,,run_config_03.json,ac10d2075e66ec0b7b0146ccb4621ae3f3a73b42685dfd663e740fb8d5f6d9bc
C05,Sec3 teardown,"raw (L1,Tail) three-cluster silhouette 0.72",corpus,scripts/stage9_build03.py,,fig03_clusters_raw_vs_derounded.png,run_config_03.json,(figure-only claim; see figures/MANIFEST.sha256)
C06,Sec3 teardown,cluster survival Jaccard 0.39-0.43 after 2*5 strip,corpus,scripts/stage9_build03.py,,fig03_clusters_raw_vs_derounded.png,run_config_03.json,(figure-only claim; see figures/MANIFEST.sha256)
C07,Sec3 teardown,cleaned-space intrinsic dimension 1.16,corpus,scripts/stage11_build05.py,unsup_vs_domain.csv,fig05_umap_embedding.png,run_config_05.json,cb27efa9a5c14d3b9c685a5438dcc20ac19959bd36151ae7e7fa5ceefc025620
C08,Sec3 teardown,residue-quantization controls 10-30x separation,corpus,scripts/stage13_build06a.py,resonance_controls.csv,fig06A_resonance_vs_residual.png,run_config_06a.json,8799e3b43ed838b38203740409683a4bd5ab7ceb4e9e50846b729a89911ba586
C09,Sec4 boundary,"arm excess -0.0184 -> -0.0001 CI [-0.0004,+0.0004]",hunt09,scripts/stage16_hunt09.py,hunt09_residual_rebaseline.csv,fig09_residual_original_vs_core.png,run_config_hunt09.json,f4555d33a8111ac14533430aae3c412bff76fd4c4f22c18f92ea44a06e48bb45
C10,Sec4 boundary,exponent-stacking 1.9% obs vs 100% smooth products,hunt09,scripts/stage16_hunt09.py,hunt09_residual_mechanism.csv,fig09_residual_mechanism.png,run_config_hunt09.json,42f833be199af939eef342a6b8c6f8fceb4526e17aebd624d5e9ac65632b4fe7
C11,Sec4 boundary,binary c2 excess +0.72 with c5 -0.007,hard10,scripts/stage17_hard10.py,hard10_binarygrid.csv,fig10_binarygrid.png,run_config_hard10.json,987e6cd36007fc62a2eb0128c037014bfd079a062ce5cb549b1f547db746d3ef
C12,Sec4 mechanism,grid-coarseness degradation AUC 0.75->chance,hard10,scripts/stage17_hard10.py,hard10_degradation.csv,fig10_degradation.png,run_config_hard10.json,64a7327f426d5550b16a2d3875ec87a480ef2a44571033f390d3d4bc48af4ff2
C13,Sec5 power,"magnitude-matched tier 6/6 at f<=0.10, clean 5/6",power13,scripts/stage20_power13.py,power13_quotient_spikein.csv,fig13_quotient_recovery.png,run_config_power13.json,de2ddf261329e40ca9ab1e9249c6400c43e17e11341cd697ab5145d93e4d3878
C14,Sec5 power,"base-matched adversarial f=0.05, confound-clean 6/6",power13,scripts/stage20_power13.py,power13_confound_check.csv,fig13_quotient_recovery.png,run_config_power13.json,6e0828ffe394b39b0e4be80207ddaca01bda79e7c7a3198e6d1de78b72d11f9d
C15,Sec5 power,off-grid injection drifts encoding |z| up to 1e7,power13,scripts/stage20_power13.py,power13_confound_check.csv,,run_config_power13.json,6e0828ffe394b39b0e4be80207ddaca01bda79e7c7a3198e6d1de78b72d11f9d
C16,Table1,employment survey vs census: both 1.00 (tie),emp11,scripts/stage18_emp11.py,emp11_contrast.csv,fig11_two_axis.png,run_config_emp11.json,9d2fa0221f815997da0bb01b3fb782c37b4228def76d109de76cda97771f03bd
C17,Table1,"ACS point est vs census: naive 0.29-0.54, encoding 0.77",whisp12,scripts/stage19_whisp12.py,whisp12_acs.csv,fig12_acs.png,run_config_whisp12.json,a7a5c1ad0b464eb4ae4429a70c75e08244e2096865502567f309eb87181c2709
C18,Table1,ACS MOE vs census: encoding 1.00,whisp12,scripts/stage19_whisp12.py,whisp12_acs.csv,fig12_acs.png,run_config_whisp12.json,a7a5c1ad0b464eb4ae4429a70c75e08244e2096865502567f309eb87181c2709
C19,Table1,"votes vs CVAP: Beber-Scacco fires, encoding 1.00",vote14,scripts/stage21_vote14.py,vote14_benchmark.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,6bd6bd31b841e88cfa1ca8acb4a148f127128c837aec82988ead0c77d9e29ad8
C20,Table1,"real-return fabrication 2-sided: naive 1.00, encoding 0.68-0.83",vote14,scripts/stage21_vote14.py,vote14_benchmark.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,6bd6bd31b841e88cfa1ca8acb4a148f127128c837aec82988ead0c77d9e29ad8
C21,Table1,"constructed 47/43 tick: naive <=0.53, encoding 1.00",power13,scripts/stage20_power13.py,power13_naive_benchmark.csv,fig13_naive_vs_encoding.png,run_config_power13.json,aa60862a19f2e6b1f4056efb82606dd183b47f06e823479ca252ff11d428e583
C22,Sec6 provenance,CVAP chi2=12684 p~0; vote series p>=0.16,vote14,scripts/stage21_vote14.py,vote14_beber_scacco.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,7910ae2a0cd149b8bbc64af39912e6ae542aff177d888191c89bf5ecfd1f825a
C23,Sec6 provenance,"CVAP rounding mass 0.275, depth 0.55, mod25 +0.77",vote14,scripts/stage21_vote14.py,vote14_profiles.csv,,run_config_vote14.json,d3990cb9f77b67d1d79dcc4f7bac8af878414e581060dae1103565124da304d5
C24,Sec6 field,employment keff 0.98-1.00; rm 0.474 vs 0.102,emp11,scripts/stage18_emp11.py,emp11_profiles.csv,fig11_two_axis.png,run_config_emp11.json,4ea15c0a7506c48c47e1f753eb79d4b06c3dd248af06a688cbe56a3333037fc7
C25,Sec6 field,"ACS MOE rm 0.183 [0.151,0.216] vs 0.112",whisp12,scripts/stage19_whisp12.py,whisp12_acs.csv,fig12_acs.png,run_config_whisp12.json,a7a5c1ad0b464eb4ae4429a70c75e08244e2096865502567f309eb87181c2709
C26,Sec6 field,votes keff 0.98-1.03; whisper residuals +0.004..+0.016,vote14,scripts/stage21_vote14.py,vote14_profiles.csv,,run_config_vote14.json,d3990cb9f77b67d1d79dcc4f7bac8af878414e581060dae1103565124da304d5
C27,Sec7 exact,sums/Poisson keff=1.00; products AUC 0.86-0.96,gate07,scripts/stage14_gate07.py,gate_separation.csv,fig07_keff_by_rung.png,run_config_gate07.json,5f2840baee3a926acdb2fcdcc01636b678d61dd48f69f40e67b3b319ed37ae12
C28,Sec7 exact,structured products AUC >= 0.85 (closed-form factoriz.),hunt08,scripts/stage15_hunt08.py,hunt_separation.csv,fig08_keff_structured.png,run_config_hunt08.json,10cd418a34d4eb2556e9994edade3bb80c9e9f2cbaa2ef06e5b2b68712d2dbcf
C29,Sec7 exact,COD 0.534+/-0.091 n=11240; NIST 1.707 n=505,hunt09,scripts/stage16_hunt09.py,hunt09_lowkeff.csv,fig09_lowkeff.png,run_config_hunt09.json,3834f82344c8a660e70be42c21df4f65725997e0d86fb666285929aa8463a311
C30,Sec7 exact,"graph automorphism keff up to 4.44, |Aut| to 1e17265",hunt09,scripts/stage16_hunt09.py,hunt09_highkeff.csv,fig09_lowkeff.png,run_config_hunt09.json,0fdca3e0faa4932ce5abab3ca644f710ba3d2880e50ee614262ea9b604055925
C31,Sec7 exact,balanced pairs full-profile AUC 0.83-0.93,hard10,scripts/stage17_hard10.py,hard10_semiprime.csv,fig10_semiprime.png,run_config_hard10.json,8cb302a64853f9a25714b594bfe0771ec95d2f7dbc8075fd76d13cff2fb35117
C32,Table 1 (Sec 3 corpus),corpus composition 18951 ch/367 fam/18 dom,corpus,scripts/stage9_build03.py,family_inventory.csv,,run_config_03.json,f045b786a2a454334792eb51b96eacf84204ce56f9144be1fb4bc6d47e0c0940
C33,Table 2 (Sec 4 decomposition),driver->effect->removal; core-mag reindex -0.0184->-0.0001,hunt09,scripts/stage16_hunt09.py,hunt09_residual_rebaseline.csv,fig09_residual_original_vs_core.png,run_config_hunt09.json,f4555d33a8111ac14533430aae3c412bff76fd4c4f22c18f92ea44a06e48bb45
C34,Table 3 (Sec 5 spike-in),tier x f recovery + confound z,power13,scripts/stage20_power13.py,power13_quotient_spikein.csv,fig13_quotient_recovery.png,run_config_power13.json,de2ddf261329e40ca9ab1e9249c6400c43e17e11341cd697ab5145d93e4d3878
C35,Table 4 (Sec 6 CVAP),Beber-Scacco chi2 + five-grid residue proof,vote14,scripts/stage21_vote14.py,vote14_beber_scacco.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,7910ae2a0cd149b8bbc64af39912e6ae542aff177d888191c89bf5ecfd1f825a
C36,Table 6 (Sec 8 pre-registration),"20 frozen rules, 3 misfires",all,scripts/*,manifests/decision_rules.csv,,(all configs),b83428a59a50d9a29b9c0d3700d93d8eda2ff59bf9e484480778ca4044d2ed53
