dataset_id,injection,f,method,auc,host_grid,w,n_test
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.02,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.02,benford,0.5005,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.02,benford_law,0.4722,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.02,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.02,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.05,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.05,benford,0.5098,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.05,benford_law,0.297,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.05,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.05,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.1,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.1,benford,0.5555,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.1,benford_law,0.1403,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.1,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.1,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.2,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.2,benford,0.8189,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.2,benford_law,0.0204,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.2,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,real_donor,0.2,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.02,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.02,benford,0.4234,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.02,benford_law,0.4731,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.02,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.02,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.05,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.05,benford,0.458,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.05,benford_law,0.4799,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.05,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.05,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.1,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.1,benford,0.4206,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.1,benford_law,0.4542,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.1,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.1,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.2,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.2,benford,0.4207,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.2,benford_law,0.3972,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.2,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,synthetic_finegrid,0.2,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.02,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.02,benford,0.5226,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.02,benford_law,0.5144,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.02,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.02,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.05,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.05,benford,0.4618,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.05,benford_law,0.4682,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.05,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.05,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.1,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.1,benford,0.4553,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.1,benford_law,0.4886,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.1,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.1,lastdigit_uniform,0.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.2,encoding,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.2,benford,0.4306,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.2,benford_law,0.4567,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.2,lastdigit,1.0,100000,2000,120
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,benford_matched,0.2,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.02,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.02,benford,0.4865,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.02,benford_law,0.4344,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.02,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.02,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.05,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.05,benford,0.5258,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.05,benford_law,0.3083,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.05,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.05,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.1,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.1,benford,0.6944,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.1,benford_law,0.1245,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.1,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.1,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.2,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.2,benford,0.9345,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.2,benford_law,0.0282,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.2,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,real_donor,0.2,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.02,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.02,benford,0.4432,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.02,benford_law,0.4912,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.02,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.02,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.05,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.05,benford,0.4266,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.05,benford_law,0.5041,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.05,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.05,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.1,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.1,benford,0.41,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.1,benford_law,0.4989,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.1,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.1,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.2,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.2,benford,0.4572,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.2,benford_law,0.4736,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.2,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,synthetic_finegrid,0.2,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.02,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.02,benford,0.4377,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.02,benford_law,0.5476,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.02,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.02,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.05,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.05,benford,0.4711,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.05,benford_law,0.4469,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.05,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.05,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.1,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.1,benford,0.4518,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.1,benford_law,0.5199,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.1,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.1,lastdigit_uniform,0.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.2,encoding,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.2,benford,0.4298,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.2,benford_law,0.5415,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.2,lastdigit,1.0,100000,2000,120
cp-discovery__cook-sale-price-parquet__market-value__fd729316,benford_matched,0.2,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.02,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.02,benford,0.4436,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.02,benford_law,0.3418,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.02,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.02,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.05,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.05,benford,0.5409,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.05,benford_law,0.2107,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.05,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.05,lastdigit_uniform,0.0,100000,2000,120
