dataset_id,injection,f,method,auc,host_grid,w,n_test
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.1,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.1,benford,0.5908,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.1,benford_law,0.0848,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.1,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.1,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.2,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.2,benford,0.8762,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.2,benford_law,0.0101,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.2,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,real_donor,0.2,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.02,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.02,benford,0.4973,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.02,benford_law,0.4051,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.02,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.02,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.05,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.05,benford,0.4431,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.05,benford_law,0.3728,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.05,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.05,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.1,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.1,benford,0.4781,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.1,benford_law,0.3931,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.1,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.1,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.2,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.2,benford,0.435,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.2,benford_law,0.3288,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.2,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,synthetic_finegrid,0.2,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.02,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.02,benford,0.4517,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.02,benford_law,0.4144,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.02,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.02,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.05,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.05,benford,0.4749,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.05,benford_law,0.4062,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.05,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.05,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.1,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.1,benford,0.4508,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.1,benford_law,0.4302,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.1,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.1,lastdigit_uniform,0.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.2,encoding,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.2,benford,0.4224,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.2,benford_law,0.3771,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.2,lastdigit,1.0,100000,2000,120
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,benford_matched,0.2,lastdigit_uniform,0.0,100000,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,benford,0.5414,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,benford_law,0.5016,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,benford,0.6306,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,benford_law,0.6257,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,benford,0.869,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,benford_law,0.8524,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,benford,0.9997,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,benford_law,0.9999,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,benford,0.5297,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,benford_law,0.5036,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,benford,0.5162,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,benford_law,0.4942,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.1,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.1,benford,0.4853,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.1,benford_law,0.4753,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.1,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.1,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.2,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.2,benford,0.4776,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.2,benford_law,0.4742,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.2,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.2,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.02,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.02,benford,0.4219,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.02,benford_law,0.4092,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.02,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.02,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.05,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.05,benford,0.5067,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.05,benford_law,0.4929,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.05,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.05,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.1,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.1,benford,0.458,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.1,benford_law,0.4455,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.1,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.1,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.2,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.2,benford,0.4872,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.2,benford_law,0.4574,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.2,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,benford_matched,0.2,lastdigit_uniform,0.0,100,2000,120
