species,configuration,n_levels,log10,d,L1,H2,keff,omega,maxexp
Fe I,3d6.4s2,21,17.38849,18,0.35671,0.23619,2.17843,5,13
Fe I,3d7.(4F).4s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d7.(4P).4s,5,3.19728,4,0.43723,0.35011,1.67073,3,2
Fe I,3d6.(5D).4s.4p.(3P*),34,26.35494,27,0.34397,0.25693,1.98594,5,19
Fe I,3d7.(2G).4s,4,3.79498,4,0.5029,0.3778,1.54826,3,4
Fe I,3d7.(2P).4s,3,1.65321,2,0.5772,0.51192,1.36866,2,2
Fe I,3d7.(2H).4s,4,4.15097,5,0.50176,0.37662,1.50135,3,2
Fe I,3d7.(2D2).4s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Fe I,3d8,5,3.6744,4,0.38955,0.34939,1.67414,3,3
Fe I,3d7.(4F).4p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Fe I,3d6.(5D).4s.4p.(1P*),12,9.01345,10,0.37054,0.28389,1.86104,4,7
Fe I,3d7.(2F).4s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Fe I,3d5.(6S).4s2.4p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Fe I,3d6.(3P2).4s.4p.(3P*),15,10.06896,11,0.41651,0.3469,1.51613,3,7
Fe I,3d6.(3H).4s.4p.(3P*),25,24.80819,25,0.29384,0.23903,2.13815,5,13
Fe I,3d6.(5D).4s (6D).5s,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Fe I,3d6.(3F2).4s.4p.(3P*),25,20.80548,21,0.34399,0.2528,2.02998,5,15
Fe I,3d7.(4P).4p,14,9.36999,10,0.37298,0.33938,1.55676,3,7
Fe I,3d7.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.(3G).4s.4p.(3P*),26,23.9145,24,0.29927,0.23,2.22408,5,15
Fe I,3d7.(2G).4p,12,11.28936,12,0.3381,0.2549,2.05555,5,8
Fe I,3d6.(5D).4s (6D).5p,26,20.65935,21,0.34642,0.24723,2.07574,5,15
Fe I,3d7.(2P).4p,8,4.85049,5,0.43231,0.37206,1.51977,3,4
Fe I,3d6.(5D).4s (6D).4d,40,33.16392,34,0.30212,0.2231,2.27764,5,21
Fe I,3d7.(2D2).4p,10,7.23966,8,0.38619,0.34127,1.57003,3,4
Fe I,3d6.(5D).4s (4D).5s,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Fe I,3d7.(2H).4p,12,12.39132,13,0.33617,0.26622,1.95776,5,7
Fe I,3d7.(4F).5p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Fe I,3d7.(4F).4d,36,30.44376,31,0.31344,0.2226,2.28627,5,20
Fe I,3d6.(3D).4s.4p.(3P*),15,11.51176,12,0.37302,0.29254,1.79107,4,9
Fe I,3d6.(5D).4s (6D).6s,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Fe I,3d6.4s.(6D).6s,4,2.97543,3,0.48106,0.36727,1.69849,3,3
Fe I,3d6.(1G2).4s.4p.(3P*),9,8.44862,9,0.33884,0.23984,2.22311,5,6
Fe I,3d7.(4F).6s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.4s.(6D).6p,26,20.65935,21,0.34642,0.24723,2.07574,5,15
Fe I,3d6.4s.(6D).5d,39,32.6868,33,0.29194,0.22093,2.30118,5,20
Fe I,3d6.(1I).4s.4p.(3P*),6,6.44101,7,0.34589,0.28537,1.90257,4,3
Fe I,3d6.4s.(6D<9/2>).4f,14,13.36705,14,0.24986,0.1827,2.84247,6,7
Fe I,3d6.(3D).4s.4p.(1P*),2,1.54407,2,0.54732,0.50448,1.38885,2,1
Fe I,3d6.4s.(6D<7/2>).4f,13,11.43763,12,0.29201,0.21182,2.47364,5,7
Fe I,3d6.4s.(6D<5/2>).4f,11,9.14759,10,0.31295,0.2221,2.37879,5,6
Fe I,3d6.(3P2).4s.4p.(1P*),2,1.32222,2,0.63915,0.53873,1.30056,2,1
Fe I,3d6.4s.(6D<3/2>).4f,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Fe I,3d6.4s.(4D).4d,18,13.72924,14,0.34752,0.26921,1.92902,4,10
Fe I,3d6.(5D).4s (4D).4d,9,7.62908,8,0.3127,0.22039,2.43115,5,5
Fe I,3d6.4s.(6D<1/2>).4f,4,3.34341,4,0.50553,0.38073,1.53636,3,2
Fe I,3d6.4s.(4D).5p,20,14.70904,15,0.35681,0.29614,1.75146,4,11
Fe I,3d6.(3H).4s.4p.(1P*),9,9.28174,10,0.33659,0.25093,2.10549,5,5
Fe I,3d6.4s.(6D).7s,8,5.95086,6,0.48106,0.36727,1.50134,3,6
Fe I,3d7.(4F).5d,5,5.16736,6,0.46167,0.3939,1.39987,3,5
Fe I,3d7.(4F<9/2>).4f,12,12.19095,13,0.23482,0.17672,2.94925,6,6
Fe I,3d6.4s.(6D<9/2>).6d,9,9.08544,10,0.26257,0.22216,2.3782,5,5
Fe I,3d7.(4F<7/2>).4f,11,10.48338,11,0.22756,0.20242,2.5983,5,5
Fe I,3d6.4s.(6D<9/2>).5f,5,5.81052,6,0.38342,0.27671,1.99271,4,2
Fe I,3d6.4s.(6D<9/2>).5g,17,16.35337,17,0.23341,0.15793,3.2681,7,8
Fe I,3d6.4s.(6D<7/2>).6d,10,8.67047,9,0.27514,0.21391,2.49259,5,5
Fe I,3d6.(5D).4p2.(3P),3,2.69461,3,0.38647,0.34206,1.82371,3,2
Fe I,3d6.4s.(6D<7/2>).5f,3,3.33143,4,0.33437,0.27405,2.13436,4,1
Fe I,3d7.(4F<5/2>).4f,8,7.07941,8,0.2942,0.25522,2.09936,4,4
Fe I,3d6.4s.(6D<7/2>).5g,14,13.36705,14,0.24986,0.1827,2.84247,6,7
Fe I,3d6.4s.(6D<5/2>).6d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Fe I,3d7.(4F<3/2>).4f,6,5.33904,6,0.35746,0.28318,1.94719,4,4
Fe I,3d6.4s.(6D<3/2>).6d,6,4.04238,5,0.41812,0.35014,1.61491,3,2
Fe I,3d6.4s.(6D<5/2>).5g,12,10.96051,11,0.26119,0.20603,2.55284,5,6
Fe I,3d6.(3F2).4s.4p.(1P*),6,5.48517,6,0.46221,0.37074,1.4873,3,4
Fe I,3d6.4s.(6D<1/2>).6d,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Fe I,3d6.4s.(6D<3/2>).5g,8,7.49438,8,0.27791,0.22374,2.39478,5,4
Fe I,3d6.4s.(6D<1/2>).5g,4,3.79498,4,0.5029,0.3778,1.54826,3,4
Fe II,3d6.(5D).4s,9,6.16866,7,0.732,0.57259,0.9482,3,15
Fe II,3d7,19,14.29157,15,0.65297,0.48802,1.06284,3,31
Fe II,3d6.(3P2).4s,5,2.58433,3,0.81538,0.69893,0.89253,2,7
Fe II,3d6.(3H).4s,6,6.20758,7,0.48494,0.32805,1.65504,4,10
Fe II,3d6.(3F2).4s,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d5.4s2,20,15.67178,16,0.65309,0.48984,1.05572,3,34
Fe II,3d6.(3G).4s,6,5.66351,6,0.58468,0.43116,1.27887,3,11
Fe II,3d6.(3D).4s,6,3.96454,4,0.75931,0.63448,0.92191,2,10
Fe II,3d6.(1I).4s,2,2.22531,3,0.40583,0.35489,1.75777,3,3
Fe II,3d6.(1G2).4s,2,1.90309,2,0.63272,0.53523,1.30906,2,4
Fe II,3d6.(1D2).4s,2,1.38021,2,0.65431,0.54762,1.27942,2,3
Fe II,3d6.(5D).4p,25,18.08002,19,0.69929,0.53659,0.95898,3,42
Fe II,3d6.(1F).4s,2,1.68124,2,0.71621,0.59349,1.18054,2,4
Fe II,3d6.(3P1).4s,5,2.58433,3,0.81538,0.69893,0.89253,2,7
Fe II,3d6.(3F1).4s,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d5.(6S).4s.4p.(3P*),9,6.64578,7,0.67945,0.5191,1.04591,3,15
Fe II,3d6.(1G1).4s,2,1.90309,2,0.63272,0.53523,1.30906,2,4
Fe II,3d6.(3P2).4p,13,7.45196,8,0.80792,0.68963,0.77695,2,20
Fe II,3d6.(3H).4p,18,18.52583,19,0.51997,0.34857,1.47625,4,32
Fe II,3d6.(3F2).4p,18,14.5926,15,0.66013,0.4949,1.04806,3,32
Fe II,3d6.(3G).4p,18,16.83564,17,0.57218,0.40191,1.28419,4,32
Fe II,3d6.(1I).4p,6,6.65474,7,0.49759,0.3437,1.57967,4,11
Fe II,3d6.(3D).4p,17,11.51342,12,0.73209,0.58257,0.89939,3,28
Fe II,3d6.(1G2).4p,6,5.66351,6,0.58468,0.43116,1.27887,3,11
Fe II,3d6.(1S2).4p,2,0.90309,1,1.0,1.0,0.94065,1,3
Fe II,3d6.(1D2).4p,6,3.96454,4,0.75931,0.63448,0.92191,2,10
Fe II,3d6.(5D).5s,9,6.16866,7,0.732,0.57259,0.9482,3,15
Fe II,3d5.(6S).4s.4p.(1P*),3,2.2833,3,0.79104,0.66941,0.93189,2,6
Fe II,3d6.(5D).4d,37,28.72926,29,0.64965,0.47742,1.0673,4,62
Fe II,3d6.(1F).4p,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d6.(3P1).4p,9,5.64578,6,0.74647,0.6215,0.88722,2,14
Fe II,3d5.(4G).4s.4p.(3P*),24,21.49915,22,0.58808,0.41696,1.22935,4,42
Fe II,3d5.(4P).4s.4p.(3P*),19,12.41651,13,0.75157,0.60495,0.86156,3,31
Fe II,3d6.(5D).5p,25,18.08002,19,0.69929,0.53659,0.95898,3,42
Fe II,3d6.(3F1).4p,17,13.99054,14,0.6455,0.481,1.07963,3,30
Fe II,3d5.(4D).4s.4p.(3P*),30,21.4425,22,0.70195,0.5424,0.94504,3,50
Fe II,3d6.(3P2).5s,5,2.58433,3,0.81538,0.69893,0.89253,2,7
Fe II,3d6.(1G1).4p,5,4.88536,5,0.61619,0.47111,1.20024,3,10
Fe II,3d6.(3H).5s,4,4.1284,5,0.51042,0.34445,1.64157,4,7
Fe II,3d6.(3F2).5s,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d6.(5D).6s,9,6.16866,7,0.732,0.57259,0.9482,3,15
Fe II,3d5.(2I).4s.4p.(3P*),14,15.23376,16,0.47426,0.3348,1.54459,4,24
Fe II,3d6.(3G).5s,6,5.66351,6,0.58468,0.43116,1.27887,3,11
Fe II,3d6.(5D<4>).4f,14,12.52237,13,0.60098,0.41509,1.25563,4,25
Fe II,3d6.(3P2).4d,13,9.40621,10,0.67207,0.52152,1.01305,3,21
Fe II,3d5.4s.(7S).5s,2,1.68124,2,0.71621,0.59349,1.18054,2,4
Fe II,3d6.(5D<3>).4f,13,10.47315,11,0.6036,0.42187,1.24671,4,21
Fe II,3d6.(3H).4d,30,30.52532,31,0.55225,0.37258,1.36597,4,56
Fe II,3d6.(5D<2>).4f,10,7.94681,8,0.64397,0.47808,1.12074,3,17
Fe II,3d6.(5D).5d,33,26.74699,27,0.64152,0.46812,1.09001,4,57
Fe II,3d6.(5D<1>).4f,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d6.(5D<0>).4f,2,1.68124,2,0.71621,0.59349,1.18054,2,4
Fe II,3d5.(2D3).4s.4p.(3P*),8,5.74269,6,0.62904,0.47263,1.16668,3,12
Fe II,3d6.(3F2).4d,28,23.08348,24,0.62596,0.4507,1.13499,4,48
Fe II,3d5.(4F).4s.4p.(3P*),12,10.02599,11,0.6005,0.44058,1.19378,3,20
Fe II,3d6.(5D).6p,24,17.30187,18,0.71335,0.55093,0.93392,3,41
Fe II,3d5.(6S).4p2,6,4.96454,5,0.667,0.50165,1.12716,3,11
Fe II,3d5.4s.(7S).4d,10,7.94681,8,0.64397,0.47808,1.12074,3,17
Fe II,3d5.(2F1).4s.4p.(3P*),12,9.8499,10,0.6418,0.47834,1.10451,3,21
Fe II,3d6.(3G).4d,30,27.45492,28,0.58112,0.39976,1.27549,4,53
Fe II,3d6.(3P2).5p,7,4.74269,5,0.6982,0.57856,0.97732,2,11
Fe II,3d6.(3H).5p,18,18.52583,19,0.51997,0.34857,1.47625,4,32
Fe II,3d5.(4G).4s.4p.(1P*),3,2.58433,3,0.81538,0.69893,0.89253,2,7
Fe II,3d6.(1I).5s,2,2.22531,3,0.40583,0.35489,1.75777,3,3
Fe II,3d6.(3D).5s,6,3.96454,4,0.75931,0.63448,0.92191,2,10
Fe II,3d5.(4G).4s.(5G).4p,2,2.22531,3,0.40583,0.35489,1.75777,3,3
Fe II,3d5.(2G2).4s.4p.(3P*),3,3.1284,4,0.57735,0.42957,1.36168,3,6
Fe II,3d5.(2H).4s.4p.(3P*),4,4.15836,5,0.43435,0.35433,1.5958,3,6
Fe II,3d6.(3F2).5p,14,12.1332,13,0.66988,0.50335,1.03546,3,27
Fe II,3d6.(3G).5p,8,8.18985,9,0.55135,0.37431,1.42444,4,15
Fe II,3d6.(5D).7s,9,6.16866,7,0.732,0.57259,0.9482,3,15
Fe II,3d6.(5D<4>).5f,9,9.33598,10,0.51591,0.34486,1.53201,4,16
Fe II,3d6.(5D<4>).5g,17,15.28279,16,0.61062,0.42854,1.20674,4,31
Fe II,3d6.(5D<3>).5f,10,9.26903,10,0.55211,0.37828,1.39668,4,17
Fe II,3d6.(5D<3>).5g,14,12.52237,13,0.60098,0.41509,1.25563,4,25
Fe II,3d6.(5D).6d,35,29.50741,30,0.64272,0.47212,1.07861,4,63
Fe II,3d6.(5D<2>).5f,7,5.74269,6,0.62904,0.47263,1.16668,3,12
Fe II,3d6.(5D<2>).5g,10,9.26903,10,0.55211,0.37828,1.39668,4,17
Fe II,3d6.(3D).4d,2,1.60206,2,0.56371,0.50812,1.3789,2,3
Fe II,3d6.(5D<1>).5f,3,2.50515,3,0.72099,0.59767,1.04374,2,6
Fe II,3d6.(5D<1>).5g,6,5.66351,6,0.58468,0.43116,1.27887,3,11
Fe II,3d6.(5D<0>).5g,2,1.90309,2,0.63272,0.53523,1.30906,2,4
Fe II,3d5.4s.(5S).5s,2,1.38021,2,0.65431,0.54762,1.27942,2,3
Fe II,3d5.4s.(5S).4d,5,3.58433,4,0.67188,0.50717,1.15333,3,8
Fe II,3d5.4p2,2,1.38021,2,0.65431,0.54762,1.27942,2,3
Fe II,3d6.(5D<4>).6h,18,17.53807,18,0.56642,0.39179,1.31328,4,33
Fe II,3d6.(5D<3>).6h,14,14.07867,15,0.57731,0.39891,1.30026,4,27
Fe II,3d6.(5D<2>).6h,10,10.23907,11,0.5586,0.37747,1.39336,4,19
Fe II,3d6.(5D<1>).6h,6,6.20758,7,0.48494,0.32805,1.65504,4,10
Fe II,3d6.(5D<0>).6h,2,2.07918,3,0.43435,0.35433,1.76053,3,3
Fe II,3d6.(3H).6s,5,5.1284,6,0.46959,0.33063,1.66774,4,8
Fe II,3d6.(3P2<2>).4f,2,1.90309,2,0.63272,0.53523,1.30906,2,4
Fe II,3d6.(3H<6>).4f,12,13.57352,14,0.51009,0.34404,1.50943,4,23
Fe II,3d6.(3H<5>).4f,7,8.11413,9,0.55649,0.40839,1.30556,3,15
Fe II,3d6.(3H<4>).4f,9,9.33598,10,0.51591,0.34486,1.53201,4,16
Fe II,3d6.(3H).5d,4,4.75849,5,0.8224,0.70789,0.79878,2,13
Fe II,3d6.(3F2<4>).4f,3,3.49638,4,0.51659,0.50055,1.16858,2,6
Fe II,3d6.(3G<5>).4f,4,4.63355,5,0.71464,0.55458,1.01959,3,11
Fe II,3d6.(3G<4>).4f,4,4.57556,5,0.52633,0.42435,1.3325,3,8
Fe II,3d6.(3G<3>).4f,3,3.22531,4,0.37333,0.27688,2.11257,4,4
Ti I,3d2.4s2,7,5.32761,6,0.44778,0.38059,1.44883,3,5
Ti I,3d3.(4F).4s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ti I,3d3.(4P).4s,5,3.19728,4,0.43723,0.35011,1.67073,3,2
Ti I,3d3.(2G).4s,4,3.79498,4,0.5029,0.3778,1.54826,3,4
Ti I,3d2.(3F).4s.4p.(3P*),26,21.50445,22,0.33281,0.24826,2.06473,5,15
Ti I,3d3.(2D2).4s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ti I,3d3.(2P).4s,3,1.65321,2,0.5772,0.51192,1.36866,2,2
Ti I,3d3.(2H).4s,4,4.15097,5,0.50176,0.37662,1.50135,3,2
Ti I,3d2.(3P).4s.4p.(3P*),16,10.54608,11,0.39767,0.34693,1.51603,3,8
Ti I,3d3.(2F).4s,4,3.34341,4,0.50553,0.38073,1.53636,3,2
Ti I,3d2.(3F).4s.4p.(1P*),9,7.36023,8,0.34446,0.2798,1.91497,4,5
Ti I,3d3.(4F).4p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Ti I,3d2.(1D).4s.4p.(3P*),8,5.69559,6,0.36816,0.33589,1.64163,3,4
Ti I,3d2.(1D).4s.4p.(1P*),3,2.02119,3,0.41812,0.35014,1.7816,3,1
Ti I,3d4,24,19.61796,20,0.36481,0.26009,1.97568,5,15
Ti I,3d2.(1G).4s.4p.(3P*),9,8.44862,9,0.33884,0.23984,2.22311,5,6
Ti I,3d3.(2D1).4s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ti I,3d3.(4P).4p,14,9.36999,10,0.37298,0.33938,1.55676,3,7
Ti I,3d3.4d,3,2.24304,3,0.62324,0.53037,1.17617,2,2
Ti I,3d3.(2G).4p,12,11.28936,12,0.3381,0.2549,2.05555,5,8
Ti I,3d2.(3P).4s.4p.(1P*),4,2.49831,3,0.38196,0.33859,1.84238,3,2
Ti I,3d2.4s.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ti I,3d2.(1G).4s.4p.(1P*),2,1.99564,2,0.52184,0.50095,1.39862,2,2
Ti I,3d3.(2D2).4p,11,7.71678,8,0.36231,0.33478,1.60047,3,5
Ti I,3d.4s2.4p,10,7.23966,8,0.38619,0.34127,1.57003,3,4
Ti I,3d3.(2H).4p,11,11.43708,12,0.36422,0.27073,1.93534,5,5
Ti I,3d3.(2P).4p,8,4.85049,5,0.43231,0.37206,1.51977,3,4
Ti I,3d3.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ti I,3d2.4s.(2F).5s,4,3.34341,4,0.50553,0.38073,1.53636,3,2
Ti I,3d2.4s.(4F).5p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Ti I,3d2.4s.(4F).4d,34,29.26767,30,0.30974,0.22193,2.29452,5,19
Ti I,3d2.4s.4d,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ti I,3d3.(4F).4d,15,13.80124,14,0.27657,0.21062,2.4656,5,8
Ti I,3d3.(4F).5p,23,19.00614,20,0.32635,0.24194,2.12382,5,13
Ti I,3d2.4s.(2P).4p,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ti I,3d2.4s.(2D).5s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ti I,3d2.4s.(2F).4d,11,10.24796,11,0.37246,0.25771,2.0409,5,8
Ti I,3d2.4s.(4F).6s,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Ti I,3d2.4s.(2F).5p,10,8.31448,9,0.40169,0.29829,1.78746,4,7
Ti I,3d3.(2F).4p,7,6.18414,7,0.40997,0.30445,1.78333,4,4
Ti I,3d2.4p2,17,13.66709,14,0.31419,0.23161,2.24218,5,9
Ti I,3d2.4s.(4F).5d,15,13.80124,14,0.27657,0.21062,2.4656,5,8
Ti I,3d2.4s.(4F<3/2>).4f,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ti I,3d2.4s.(4F<5/2>).4f,11,9.14759,10,0.31295,0.2221,2.37879,5,6
Ti I,3d2.4s.(4F<7/2>).4f,13,11.43763,12,0.29201,0.21182,2.47364,5,7
Ti I,3d2.4s.(4F<9/2>).4f,14,13.36705,14,0.24986,0.1827,2.84247,6,7
Ti I,3d3.(4F<3/2>).4f,5,4.64007,5,0.4113,0.35223,1.60533,3,4
Ti I,3d3.(4F<5/2>).4f,8,6.93011,7,0.34424,0.23657,2.29496,5,5
Ti I,3d3.(4F<7/2>).4f,8,7.90935,8,0.28168,0.25257,2.12138,4,4
Ti I,3d3.(4F<9/2>).4f,10,10.64689,11,0.26888,0.19125,2.7501,6,6
Ti I,3d2.4s.(4F<3/2>).5g,6,5.95031,6,0.35003,0.28061,1.96501,4,4
Ti I,3d2.4s.(4F<5/2>).5g,8,8.24035,9,0.2895,0.23851,2.23552,5,5
Ti I,3d2.4s.(4F<7/2>).5g,8,8.84755,9,0.25181,0.20966,2.54309,5,4
Ti I,3d2.4s.(4F<9/2>).5g,12,13.15609,14,0.2176,0.16094,3.22667,7,6
Ni I,3d8.(3F).4s2,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Ni I,3d9.(2D).4s,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ni I,3d8.(3P).4s2,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ni I,3d8.(3F).4s.4p.(3P*),26,21.50445,22,0.33281,0.24826,2.06473,5,15
Ni I,3d9.(2D).4p,12,8.56188,9,0.39482,0.34015,1.56749,3,5
Ni I,3d8.(3P).4s.4p.(3P*),17,11.50033,12,0.41488,0.35371,1.48134,3,10
Ni I,3d8.(1D).4s.4p.(3P*),8,5.69559,6,0.36816,0.33589,1.64163,3,4
Ni I,3d9.(2D<5/2>).5s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Ni I,3d8.(3F).4s.4p.(1P*),10,8.20533,9,0.41198,0.29939,1.78093,4,5
Ni I,3d9.(2D<3/2>).5s,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ni I,3d8.4s.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ni I,3d9.(2D).5p,12,8.56188,9,0.39482,0.34015,1.56749,3,5
Ni I,3d9.(2D<5/2>).4d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Ni I,3d9.(2D<3/2>).4d,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Ni I,3d8.(1G).4s.4p.(3P*),4,3.5397,4,0.2942,0.25522,2.29184,4,2
Ni I,3d9.(2D<5/2>).6s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Ni I,3d9.(2D<3/2>).6s,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ni I,3d8.4s.(2F).5s,4,3.34341,4,0.50553,0.38073,1.53636,3,2
Ni I,3d9.(2D<5/2>).6p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Ni I,3d9.(2D<5/2>).5d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Ni I,3d9.(2D<5/2>).4f,11,9.14759,10,0.31295,0.2221,2.37879,5,6
Ni I,3d8.(3F).4s.(4F).5p,18,15.44088,16,0.3708,0.25,2.0685,5,12
Ni I,3d9.(2D<3/2>).6p,4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ni I,3d9.(2D<5/2>).7s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Ni I,3d9.(2D<3/2>).5d,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Ni I,3d9.(2D<3/2>).4f,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Ni I,3d8.(1D).4s.4p.(1P*),3,2.02119,3,0.41812,0.35014,1.7816,3,1
Ni I,3d8.4s.(4F<9/2>).4d,10,9.78441,10,0.24382,0.20686,2.55406,5,5
