species,configuration,n_levels,log10,d,L1,H2,keff,omega,maxexp
Ni I,3d9.(2D<5/2>).5f,5,5.10521,6,0.40797,0.3538,1.55851,3,4
Ni I,3d9.(2D<5/2>).5g,12,10.96051,11,0.26119,0.20603,2.55284,5,6
Ni I,3d9.(2D<3/2>).7s,2,1.17609,2,0.59432,0.51779,1.35314,2,1
Ni I,3d8.(3P).4s.4p.(1P*),4,2.72016,3,0.51392,0.3914,1.59379,3,2
Ni I,3d8.4s.(4F<7/2>).4d,10,8.67047,9,0.27514,0.21391,2.49259,5,5
Ni I,3d8.4s.(4F<5/2>).4d,7,5.81617,6,0.41017,0.29919,1.84299,4,5
Ni I,3d9.(2D<3/2>).5f,2,1.99564,2,0.52184,0.50095,1.39862,2,2
Ni I,3d9.(2D<3/2>).5g,8,7.49438,8,0.27791,0.22374,2.39478,5,4
Ni I,3d8.4s.(4F<3/2>).4d,5,3.6744,4,0.38955,0.34939,1.67414,3,3
Ni I,3d8.(3F).4s.(4F).5d,2,2.29003,3,0.48643,0.37318,1.67159,3,1
Cr I,3d5.(6S).4s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d4.4s2,20,16.68952,17,0.37164,0.2406,2.14516,5,13
Cr I,3d5.(4G).4s,8,7.49438,8,0.27791,0.22374,2.39478,5,4
Cr I,3d5.(4P).4s,5,3.19728,4,0.43723,0.35011,1.67073,3,2
Cr I,3d5.(6S).4p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Cr I,3d5.(4D).4s,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Cr I,3d4.(5D).4s.4p.(3P*),34,26.35494,27,0.34397,0.25693,1.98594,5,19
Cr I,3d5.(2D3).4s,3,2.02119,3,0.41812,0.35014,1.7816,3,1
Cr I,3d5.(2I).4s,4,4.44537,5,0.50117,0.34229,1.65192,4,2
Cr I,3d5.(4F).4s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Cr I,3d5.(2F1).4s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d6,4,2.97543,3,0.48106,0.36727,1.69849,3,3
Cr I,3d5.(2H).4s,4,4.15097,5,0.50176,0.37662,1.50135,3,2
Cr I,3d5.(2F2).4s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).5s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d5.(2G2).4s,4,3.79498,4,0.5029,0.3778,1.54826,3,4
Cr I,3d4.(5D).4s.4p.(1P*),12,9.01345,10,0.37054,0.28389,1.86104,4,7
Cr I,3d4.(3H).4s.4p.(3P*),25,25.62366,26,0.28449,0.21078,2.42266,6,13
Cr I,3d4.(3P1).4s.4p.(3P*),14,9.36999,10,0.37298,0.33938,1.55676,3,7
Cr I,3d5.(6S).5p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Cr I,3d5.(6S).4d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Cr I,3d5.(4G).4p,24,22.24986,23,0.30021,0.21931,2.33479,5,14
Cr I,3d5.(4P).4p,14,9.36999,10,0.37298,0.33938,1.55676,3,7
Cr I,3d4.(3F1).4s.4p.(3P*),22,18.05189,19,0.29074,0.23467,2.19279,5,11
Cr I,3d5.(6S).6s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d4.4s.5s,24,19.14083,20,0.34898,0.2552,2.01354,5,14
Cr I,3d4.(3G).4s.4p.(3P*),19,17.25379,18,0.33184,0.22422,2.29473,5,12
Cr I,3d4.(5D).4s.5p.(3P*),5,4.01682,5,0.35634,0.26874,2.10407,4,3
Cr I,3d5.(6S).6p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).5d,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Cr I,3d5.(6S).7s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d5.(4D).4p,19,14.01007,15,0.37461,0.29905,1.73444,4,11
Cr I,3d5.(6S).7p,2,1.79934,2,0.53033,0.50184,1.39615,2,2
Cr I,3d5.(6S).8p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d4.(3D).4s.4p.(3P*),17,12.68785,13,0.37605,0.295,1.76677,4,10
Cr I,3d5.(6S).9p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d4.(1I).4s.4p.(3P*),7,7.55495,8,0.44234,0.31612,1.69496,4,3
Cr I,3d5.(6S).10p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d4.(1G1).4s.4p.(3P*),3,3.10958,4,0.35823,0.33466,1.74786,3,2
Cr I,3d4.4s.4d,17,14.97733,15,0.28671,0.21134,2.45427,5,9
Cr I,3d5.(6S).11p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).12p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d4.4s.5p,15,11.51176,12,0.37302,0.29254,1.79107,4,9
Cr I,3d5.(6S).13p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d3.(4F).4s2.4p,3,2.84073,3,0.36659,0.33573,1.85807,3,2
Cr I,3d5.(6S).14p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).15p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).16p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).17p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).18p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).19p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).20p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).21p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).22p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(2I).4p,9,10.18334,11,0.32817,0.22628,2.3243,5,3
Cr I,3d5.(6S).23p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).24p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).25p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).26p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).27p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).28p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).29p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).30p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).31p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).32p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).33p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).34p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).35p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).36p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).37p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).38p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d4.(3H).4s.4p.(1P*),6,6.44101,7,0.34589,0.28537,1.90257,4,3
Cr I,3d5.(4G).5p,6,5.60789,6,0.34032,0.22801,2.41837,5,4
Cr I,3d5.(2D1).4p,5,3.6744,4,0.38955,0.34939,1.67414,3,3
Cr I,3d5.(4F).4p,12,10.36067,11,0.32627,0.22965,2.29024,5,5
Cr I,3d4.(3F1).4s.4p.(1P*),6,5.33904,6,0.35746,0.28318,1.94719,4,4
Cr I,3d4.(1S1).4s.4p.(3P*),2,1.17609,2,0.59432,0.51779,1.35314,2,1
Cr I,3d5.(4G).5s,5,4.65365,5,0.23937,0.20496,2.7588,5,2
Cr I,3d5.(2F1).4p,6,5.33904,6,0.35746,0.28318,1.94719,4,4
Cr I,3d5.(2H).4p,10,10.39568,11,0.32146,0.25745,2.04296,5,5
Cr I,3d5.(4P).5p,3,2.02119,3,0.41812,0.35014,1.7816,3,1
Cr I,3d4.4s.(6D).6p,11,9.039,10,0.37398,0.33584,1.57317,3,6
Cr I,3d5.(2G1).4p,7,6.9917,7,0.44684,0.31417,1.72813,4,4
Cr I,3d5.(2F2).4p,2,1.79934,2,0.53033,0.50184,1.39615,2,2
Cr I,3d4.(1D1).4s.4p.(3P*),2,1.17609,2,0.59432,0.51779,1.35314,2,1
Cr I,3d4.4p2,4,3.95468,4,0.28168,0.25257,2.31588,4,2
Cr I,3d5.(4G).4d,5,4.65365,5,0.23937,0.20496,2.7588,5,2
Cr I,3d4.4s.4p,3,3.10958,4,0.35823,0.33466,1.74786,3,2
Cr I,3d5.4p,6,5.95031,6,0.35003,0.28061,1.96501,4,4
Cr I,3p5.3d5.4s2,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Ce I,4f.5d.6s2,18,15.18561,16,0.31419,0.22988,2.24963,5,10
Ce I,4f.(2F*) .5d2.(3F).6s (4F),42,36.9277,37,0.29717,0.20229,2.5087,6,23
Ce I,4f2.6s2,12,9.80641,10,0.43789,0.28238,1.87097,5,9
Ce I,4f.(2F*) .5d2.(3F).6s (2F),12,11.36508,12,0.29387,0.22769,2.30119,5,7
Ce I,4f.(2F*) .5d2.(3F).6s (2F)?,2,1.88649,2,0.55203,0.50541,1.38628,2,1
Ce I,4f.(2F*) .5d2.(1D).6s (2D),2,1.43136,2,1.0,1.0,0.70064,1,3
Ce I,4f.(2F*) .5d2.(3P).6s (4P),10,8.2659,9,0.26953,0.21224,2.51218,5,4
Ce I,4f.(2F*) .5d2.(1G).6s (2G),6,6.71721,7,0.33167,0.25557,2.12436,5,2
Ce I,4f2.(3H).5d (4I).6s,7,7.67145,8,0.29041,0.22689,2.36152,5,3
Ce I,4f2.(3H).5d (4K).6s,9,10.40251,11,0.23657,0.18351,2.86613,6,2
Ce I,4f2.(3H).5d (4G).6s,7,6.39401,7,0.32574,0.224,2.42379,5,2
Ce I,4f2.(3H).5d (2H).6s,3,3.10958,4,0.35823,0.33466,1.74786,3,2
Ce I,4f.5d.(1G*).6s.6p.(3P*),7,7.0137,8,0.54422,0.40958,1.30818,3,8
Ce I,4f2.(3H).5d (4H).6s,9,9.35429,10,0.35725,0.25599,2.06389,5,5
Ce I,4f.5d.(3H*).6s.6p.(3P*),24,25.93109,26,0.34366,0.25793,1.9798,6,8
Ce I,4f.5d.(3F*).6s.6p.(3P*),25,21.12449,22,0.33879,0.22981,2.2305,5,15
Ce I,4f.(2F*<5/2>).6s2.6p<1/2>,3,2.24304,3,0.62324,0.53037,1.17617,2,2
Ce I,4f2.(3F).5d (4H).6s?,5,4.83637,5,0.43065,0.37171,1.52119,3,4
Ce I,4f2.(3F).5d (4H).6s,6,6.15756,7,0.38743,0.31273,1.73609,4,5
Ce I,4f2.(3H).5d (2I).6s,3,3.26928,4,0.68146,0.56586,1.03371,2,2
Ce I,4f2.(3F).5d (2P).6s,2,0.95424,1,1.0,1.0,0.94065,1,2
Ce I,4f.5d.(3G*).6s.6p.(3P*),9,8.57237,9,0.48593,0.36402,1.46473,4,6
Ce I,4f2.(3H).5d (4F).6s,5,4.09255,5,0.51237,0.38164,1.4816,3,3
Ce I,4f.5d.(3G*).6s.6p.(3P*)?,4,3.49955,4,0.68169,0.56602,1.03341,2,5
Ce I,4f.5d.(1D*).6s.6p.(3P*),4,2.8293,3,0.50591,0.50007,1.24745,2,3
Ce I,4f2.(3F).5d (4P).6s,4,2.13033,3,0.6719,0.5591,1.11575,2,3
Ce I,4f2.(3F).5d (4F).6s,4,3.39358,4,0.41194,0.34293,1.70569,3,2
Ce I,4f2.(3H).5d (2G).6s,2,1.90849,2,1.0,1.0,0.70064,1,4
Ce I,4f2.(3F).5d (2D).6s,2,1.39794,2,1.0,1.0,0.70064,1,2
Ce I,4f.(2F*).5d2.(3F) (4H*).6p,9,10.09619,11,0.331,0.23402,2.24745,5,5
Ce I,4f.(2F*).5d2.(3F) (4I*).6p,18,20.37179,21,0.21872,0.18567,2.76399,6,8
Ce I,4f.5d.(3D*).6s.6p.(3P*),5,3.99127,4,0.52184,0.50095,1.16764,2,4
Ce I,4f.(2F*).5d2.(3F) (4H*).6p?,2,2.21748,3,0.46963,0.3662,1.70346,3,1
Ce I,4f2.(3F).5d (4D).6s,2,1.43136,2,1.0,1.0,0.70064,1,3
Ce I,4f2.(3H).5d (2K).6s,3,3.58263,4,0.3902,0.34116,1.71456,3,2
Ce I,4f.(2F*).5d2.(3F) (4I*).6p?,2,2.21748,3,0.46963,0.3662,1.70346,3,1
Ce I,4f.5d.(3P*).6s.6p.(3P*)?,2,0.95424,1,1.0,1.0,0.94065,1,2
Ce I,4f.(2F*).5d2.(3F) (4D*).6p,3,1.43136,2,1.0,1.0,0.70064,1,3
Ce I,4f.5d.(1F*).6s.6p.(3P*),2,0.95424,1,1.0,1.0,0.94065,1,2
Ce I,4f.(2F*).5d2.(3F) (2I*).6p,3,3.52048,4,0.34951,0.28007,2.08856,4,1
Ce I,4f2.(3H).5d2.(3F),4,4.75872,5,0.44065,0.3515,1.60866,3,3
Ce I,4f.(2F*).5d2.(1G) (2K*).6p,2,2.35218,3,0.59432,0.51779,1.20475,2,2
Nd I,4f4.6s2,5,5.51612,6,0.25949,0.20957,2.6311,5,3
Nd I,4f3.(4I*).5d.6s2,36,38.83439,39,0.22948,0.16834,3.01232,7,17
Nd I,4f4.(5I).5d.6s.(3D),42,46.23642,47,0.18574,0.13892,3.64154,8,18
Nd I,4f3.(4I*).5d2.(3F) (6M*).6s,12,15.25037,16,0.18333,0.15294,3.38118,7,4
Nd I,4f4.6s2?,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Nd I,4f3.(4I*).5d2.(3F) (6L*).6s,7,8.52458,9,0.15974,0.12994,4.10346,8,2
Nd I,4f3.(4I*).5d2.(3F) (6K*).6s,9,10.27243,11,0.21688,0.16391,3.20887,7,4
Nd I,4f3.(4I*).5d2.(3F) (6I*).6s,8,8.75391,9,0.2545,0.16245,3.28214,7,3
Nd I,4f3.(4I*).5d2.(3F) (6H*).6s,8,8.17413,9,0.27255,0.18378,2.90129,6,3
Nd I,4f4.(5I).6s.6p.(3P*),14,15.75706,16,0.21196,0.1525,3.391,7,7
Nd I,4f4.6s.6p,13,13.17531,14,0.25349,0.17349,2.99328,7,7
Nd I,4f3.(4I*).5d2.(3F) (6G*).6s,2,2.13033,3,0.6719,0.5591,1.11575,2,3
Nd I,4f3.(4F*).5d.6s2,5,5.13077,6,0.27898,0.21185,2.60279,5,3
Nd I,4f3.(2H*).5d.6s2,2,1.95904,2,0.56862,0.50942,1.37539,2,1
Nd I,4f3.(4I*).5d (5L*).6s.6p.(3P*),7,8.88112,9,0.23611,0.15552,3.4285,7,3
Nd I,4f3.5d.6s.6p,11,11.95843,12,0.26125,0.18994,2.75863,6,5
Nd I,4f4.5d2,5,5.85882,6,0.38026,0.2757,2.00004,4,2
Nd I,4f4.(5I).5d (6L).6p,7,8.88112,9,0.23611,0.15552,3.4285,7,3
Nd I,4f3.(4I*).5d2.(3F) (6M*).6p,2,2.40654,3,0.51129,0.38509,1.61992,3,1
Nd I,4f4.(5I).5d (6L).6p?,12,14.89382,15,0.18286,0.13882,3.73652,8,4
Nd I,4f4.5d.6p?,35,41.95746,42,0.17596,0.13651,3.71097,8,15
Nd I,4f4.(5I).6s.7s.(3S),7,7.63997,8,0.18735,0.1495,3.58402,7,3
W I,5d4.6s2,25,20.58577,21,0.34766,0.24144,2.12553,5,15
W I,5d5.(6S).6s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
W I,5d5.(4G).6s,7,6.64928,7,0.31323,0.23577,2.30282,5,4
W I,5d4.6s.(6D).6p,23,18.16104,19,0.34153,0.24117,2.1337,5,13
W I,5d5.(4P).6s,4,2.49831,3,0.38196,0.33859,1.84238,3,2
W I,5d5.(4D).6s,5,3.82053,4,0.4424,0.36955,1.58282,3,3
W I,5d5.(6S).6p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
W I,5d5.(2F1).6s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
W I,5d5.(4F).6s,5,4.01682,5,0.35634,0.26874,2.10407,4,3
W I,5d5.(2I).6s,4,4.44537,5,0.50117,0.34229,1.65192,4,2
W I,5d5.(2G2).6s,2,1.99564,2,0.52184,0.50095,1.39862,2,2
W I,5d4.6s.(6D).7s,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Mo I,4d5.(6S).5s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Mo I,4d4.5s2,17,14.66833,15,0.39033,0.2459,2.10936,5,12
Mo I,4d5.(4G).5s,8,7.49438,8,0.27791,0.22374,2.39478,5,4
Mo I,4d5.(4P).5s,5,3.19728,4,0.43723,0.35011,1.67073,3,2
Mo I,4d5.(4D).5s,7,4.99662,5,0.38196,0.33859,1.66999,3,4
Mo I,4d6,8,7.19895,8,0.33138,0.24972,2.14561,5,5
Mo I,4d5.(2I).5s,4,4.44537,5,0.50117,0.34229,1.65192,4,2
Mo I,4d5.(6S).5p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Mo I,4d5.(4F).5s,8,6.51514,7,0.36616,0.27297,1.98899,4,5
Mo I,4d5.(2D).5s,3,2.02119,3,0.41812,0.35014,1.7816,3,1
Mo I,4d5.(2F).5s,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Mo I,4d4.5s.(6D).5p,26,20.65935,21,0.34642,0.24723,2.07574,5,15
Mo I,4d5.(2H).5s,4,4.15097,5,0.50176,0.37662,1.50135,3,2
Mo I,4d5.(2G).5s,3,2.94988,3,0.64697,0.5432,1.1484,2,4
Mo I,4d4.5s.(4D).5p,30,21.72685,22,0.35136,0.30641,1.67288,4,16
Mo I,4d5.(4G).5p,23,21.07377,22,0.29433,0.22293,2.29932,5,13
Mo I,4d5.(6S).6s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Mo I,4d5.(4P).5p,4,2.49831,3,0.38196,0.33859,1.84238,3,2
Mo I,4d5.(4D).5p,14,11.03463,12,0.34591,0.2866,1.82817,4,8
Mo I,4d4.5s.(4H).5p,15,15.2942,16,0.34045,0.25502,2.02785,5,10
Mo I,4d5.(6S).5d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Mo I,4d5.(2G).5p,6,5.95031,6,0.35003,0.28061,1.96501,4,4
Mo I,4d4.5s.(4F).5p,9,7.62908,8,0.3127,0.22039,2.43115,5,5
Mo I,4d5.(4F).5p,10,7.49493,8,0.38196,0.33859,1.58247,3,6
Mo I,4d5.(2I).5p,9,9.77243,10,0.34196,0.27775,1.90221,4,4
Mo I,4d5.(2D).5p,5,3.56526,4,0.47407,0.3964,1.47562,3,2
Mo I,4d5.(2F).5p,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Mo I,4d5.(6S).7s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Mo I,4d4.5s.(4G).5p,12,10.66611,11,0.31313,0.23704,2.21884,5,7
Mo I,4d4.5s.(4P).5p,3,2.02119,3,0.41812,0.35014,1.7816,3,1
Mo I,4d4.5s.(6D).6s,6,4.97107,5,0.4799,0.32286,1.75135,4,5
Mo I,4d5.(6S).6d,3,2.84073,3,0.36659,0.33573,1.85807,3,2
Mo I,4d5.(2H).5p,2,2.15534,3,0.51683,0.50057,1.24621,2,1
V I,3d3.4s2,17,12.91136,13,0.65282,0.48669,1.0709,3,28
V I,3d4.(5D).4s,9,6.16866,7,0.732,0.57259,0.9482,3,15
V I,3d4.(3H).4s,6,6.20758,7,0.48494,0.32805,1.65504,4,10
V I,3d4.(3P2).4s,5,2.58433,3,0.81538,0.69893,0.89253,2,7
V I,3d4.(3F2).4s,6,4.96454,5,0.667,0.50165,1.12716,3,11
V I,3d3.(4F).4s.4p.(3P*),35,28.34905,29,0.63712,0.46297,1.10061,4,60
V I,3d4.(3G).4s,6,5.66351,6,0.58468,0.43116,1.27887,3,11
V I,3d5,16,12.08745,13,0.64751,0.48874,1.06642,3,26
V I,3d4.(3D).4s,6,3.96454,4,0.75931,0.63448,0.92191,2,10
V I,3d4.(1G2).4s,2,1.90309,2,0.63272,0.53523,1.30906,2,4
V I,3d4.(1I).4s,2,2.22531,3,0.40583,0.35489,1.75777,3,3
V I,3d4.(5D).4p,25,18.08002,19,0.69929,0.53659,0.95898,3,42
V I,3d4.(1D2).4s,2,1.38021,2,0.65431,0.54762,1.27942,2,3
V I,3d3.(4P).4s.4p.(3P*),22,14.09775,15,0.74736,0.60224,0.86127,3,35
V I,3d3.(2G).4s.4p.(3P*),14,12.70724,13,0.59224,0.4344,1.19981,3,25
V I,3d4.(3F1).4s,6,4.96454,5,0.667,0.50165,1.12716,3,11
V I,3d3.(4F).4s.4p.(1P*),12,9.62805,10,0.65658,0.49148,1.07499,3,21
V I,3d4.(3P1).4s,3,1.68124,2,0.71621,0.59349,1.18054,2,4
V I,3d3.(2P).4s.4p.(3P*),9,5.16866,6,0.81538,0.69893,0.78893,2,14
V I,3d4.(3P2).4p,13,7.45196,8,0.80792,0.68963,0.77695,2,20
V I,3d3.(2H).4s.4p.(3P*),14,14.0964,15,0.51252,0.34503,1.50328,4,24
V I,3d3.(2D2).4s.4p.(3P*),15,10.61033,11,0.70929,0.55798,0.9426,3,25
V I,3d4.(3F2).4p,18,14.5926,15,0.66013,0.4949,1.04806,3,32
V I,3d4.(5D).5s,9,6.16866,7,0.732,0.57259,0.9482,3,15
V I,3d4.(3H).4p,18,18.52583,19,0.51997,0.34857,1.47625,4,32
V I,3d3.4s.(5F).5s,10,7.94681,8,0.64397,0.47808,1.12074,3,17
V I,3d4.(3G).4p,18,16.83564,17,0.57218,0.40191,1.28419,4,32
V I,3d3.(4P).4s.4p.(1P*),8,4.86763,5,0.80396,0.68479,0.82572,2,13
V I,3d4.(3D).4p,15,10.1332,11,0.74268,0.59181,0.88872,3,25
V I,3d4.(5D).4d,20,16.03976,17,0.6381,0.4589,1.12472,4,34
V I,3d4.(1I).4p,4,4.30449,5,0.4196,0.29012,1.94897,4,6
V I,3d4.(5D).5p,25,18.08002,19,0.69929,0.53659,0.95898,3,42
V I,3d3.4s.(5F).5p,26,20.70327,21,0.63977,0.4632,1.10792,4,44
V I,3d3.4s.(5F).4d,45,37.58812,38,0.62467,0.44329,1.14437,4,78
V I,3d4.(1G2).4p,6,5.66351,6,0.58468,0.43116,1.27887,3,11
V I,3d3.(4F).4s.(3F).5s,6,4.96454,5,0.667,0.50165,1.12716,3,11
V I,3d3.(4F).4s.5p,3,2.68124,3,0.56136,0.41475,1.50406,3,5
V I,3d3.(2F).4s.4p.(3P*),15,12.91136,13,0.65282,0.48669,1.0709,3,28
V I,3d4.(5D).6s,8,5.86763,6,0.71825,0.55652,0.99081,3,14
V I,3d3.(2P).4s.4p.(1P*),5,2.58433,3,0.81538,0.69893,0.89253,2,7
V I,3d3.(2G).4s.4p.(1P*),2,2.07918,3,0.43435,0.35433,1.76053,3,3
V I,3d2.(3F).4s2.4p,8,5.86763,6,0.71825,0.55652,0.99081,3,14
V I,3d3.4s.(5F).5d,5,5.33252,6,0.62097,0.43591,1.26496,4,11
V I,3d3.4s.(5F).4d?,2,2.07918,3,0.43435,0.35433,1.76053,3,3
V I,3d3.(2H).4s.4p.(1P*),2,2.22531,3,0.40583,0.35489,1.75777,3,3
V I,3d3.4p2?,2,1.60206,2,0.56371,0.50812,1.3789,2,3
