dataset_family,dTail_core_c7,dTail_core_c13,keff_core_c7,omega_c7,maxexp_c7,frac_exp_carrier_c7,frac_small_carrier_c7,Tail_c7,H2_c7,domain,dTail_d7,dTail_d13
audit-analytics__x__num__8c894e,-0.04274,-0.02993,1.01475,1.71595,1.0009,0.00077,0.00704,0.00322,0.66171,unresolved,-0.05092,-0.03561
archive__ourosboros-public__num__8c894e,-0.04268,-0.02991,1.01554,1.71708,1.00099,0.00088,0.00725,0.00327,0.66123,unresolved,-0.05087,-0.0356
archive__cbad-public__num__8c894e,-0.04266,-0.02989,1.01234,1.71274,1.00103,0.0009,0.00758,0.0033,0.66331,unresolved,-0.05084,-0.03559
cp-discovery__nulls-sweep__null-k200-n__795590,-0.03181,-0.02498,0.81697,1.08651,1.01442,0.0139,0.25026,-0.0,0.95826,unresolved,-0.02764,-0.01917
cp-discovery__nulls__null-cp__795590,-0.03152,-0.02497,0.81665,1.05673,1.01326,0.01326,0.29692,-0.0,0.97234,unresolved,-0.02716,-0.01915
cp-discovery__nulls-sweep__null-k100-n__795590,-0.03152,-0.02497,0.81665,1.05673,1.01326,0.01326,0.29692,-0.0,0.97234,unresolved,-0.02716,-0.01915
cp-discovery__void-band-conditioning-2026-06-28__null-cp__f28259,-0.03147,-0.04992,0.82032,1.0,1.0,0.0,0.5,0.0,1.0,unresolved,-0.02707,-0.0383
cp-discovery__nulls-sweep__null-k50-n__795590,-0.03147,-0.02496,0.81439,1.03288,1.01134,0.01134,0.34354,-0.0,0.98383,unresolved,-0.02707,-0.01915
archive__cbad-depr-scripts-cbad-universality-tests-output__test-57-point-seven-all-c-values__6c9026,-0.00529,-0.00142,0.99787,1.37037,1.03704,0.03704,0.2963,-0.0,0.82477,unresolved,-0.00983,-0.00283
archive__roughness-index-documentation-2025q3__sub__be9491,-0.00447,0.00044,1.02131,1.63445,1.0305,0.01566,0.11983,0.02189,0.74309,admin_codes,-0.00727,-0.00231
archive__roughness-indexdepr-archive__jpm-daily__f4d79b,-0.00345,-0.00135,0.97629,1.53142,1.02546,0.02068,0.10263,0.01327,0.77522,equity_markets,-0.03525,-0.0273
archive__cbad-audit-public__state-of-ct-open-expenditures-le__990bb6,-0.00299,-0.00099,0.9657,1.35539,1.01543,0.01003,0.2431,0.01139,0.8617,census,-0.00805,-0.00345
cbad-audit__public__state-of-ct-open-expenditures-le__990bb6,-0.0028,-0.00071,0.98481,1.40257,1.01665,0.01096,0.3139,0.01164,0.83821,census,-0.00783,-0.00314
audit-analytics__x__usgs-river-columbia-the-dalles__e37a98,-0.00227,-0.0001,0.8848,1.03018,1.01519,0.01519,0.33181,-0.0,0.98517,seismology,-0.03837,-0.02447
archive__cbad-public__usgs-river-columbia-the-dalles__e37a98,-0.00227,-0.0001,0.8848,1.03018,1.01519,0.01519,0.33181,-0.0,0.98517,seismology,-0.03837,-0.02447
cp-discovery__x__usgs-river-columbia-the-dalles__e37a98,-0.00227,-0.0001,0.8848,1.03018,1.01519,0.01519,0.33181,-0.0,0.98517,seismology,-0.03837,-0.02447
archive__ourosboros-public__usgs-river-columbia-the-dalles__e37a98,-0.00227,-0.0001,0.8848,1.03018,1.01519,0.01519,0.33181,-0.0,0.98517,seismology,-0.03837,-0.02447
audit-analytics__x__usgs-river-potomac-point-of-rock__e37a98,-0.00227,-0.0001,1.25675,1.53239,1.01186,0.01186,0.3212,0.0,0.74116,seismology,-0.0225,-0.01306
cp-discovery__x__usgs-river-potomac-point-of-rock__e37a98,-0.00227,-0.0001,1.25675,1.53239,1.01186,0.01186,0.3212,0.0,0.74116,seismology,-0.0225,-0.01306
archive__ourosboros-public__usgs-river-potomac-point-of-rock__e37a98,-0.00227,-0.0001,1.25675,1.53239,1.01186,0.01186,0.3212,0.0,0.74116,seismology,-0.0225,-0.01306
archive__cbad-public__usgs-river-potomac-point-of-rock__e37a98,-0.00227,-0.0001,1.25675,1.53239,1.01186,0.01186,0.3212,0.0,0.74116,seismology,-0.0225,-0.01306
erm-hidden-network__census__case-census__e06169,-0.00226,0.00248,0.92237,1.52874,1.01724,0.01149,0.04023,0.02118,0.79466,census,-0.01197,-0.00458
data-hold__erm-co-indicators__wrds-iss-directors__8311e2,-0.00225,-0.0001,1.10444,1.4961,1.0,0.0,0.4961,0.0,0.75999,corporate_financials,-0.00199,-8e-05
archive__roughness-indexdepr-archive__public-up-to-150k__388840,-0.00221,-0.00048,0.97209,1.45391,1.02922,0.02096,0.31422,0.01808,0.83289,admin_codes,-0.00382,-0.00174
data-hold__erm-co-indicators__sp-constituents__d50d72,-0.00203,-0.00203,0.99842,1.57979,1.03282,0.02316,0.1365,0.01675,0.76037,corporate_financials,-0.00485,-0.00392
archive__stock-analysis-project-cbad-tiers__iwm-daily__a50393,-0.00196,-0.00087,0.99797,1.61707,1.03249,0.02192,0.10712,0.01896,0.74675,equity_markets,-0.03246,-0.02664
cp-discovery__x__nyc-assess-c24-avtot__098186,-0.0019,-0.00117,0.99633,1.57282,1.03123,0.02399,0.12246,0.01536,0.75991,unresolved,-0.03656,-0.02991
archive__stock-analysis-project-cbad-tiers__ge-daily__a50393,-0.00189,-0.00128,0.99544,1.79613,1.03044,0.01469,0.03317,0.03439,0.6993,equity_markets,-0.00441,-0.00325
archive__ourosboros-public__air-traffic-passenger-statistics__59ad00,-0.00184,-0.00079,0.99972,1.51532,1.03368,0.02553,0.17212,0.01224,0.78104,unresolved,-0.00402,-0.00215
archive__cbad-public__air-traffic-passenger-statistics__59ad00,-0.00184,-0.00079,0.99972,1.51532,1.03368,0.02553,0.17212,0.01224,0.78104,unresolved,-0.00402,-0.00215
cp-discovery__x__air-traffic-passenger-statistics__59ad00,-0.00184,-0.00079,0.99972,1.51532,1.03368,0.02553,0.17212,0.01224,0.78104,unresolved,-0.00402,-0.00215
archive__stock-analysis-project-cbad-tiers__xle-daily__a50393,-0.00182,-0.00158,0.99774,1.5457,1.03071,0.02359,0.15356,0.01454,0.77177,equity_markets,-0.03413,-0.0277
archive__cbad-audit-public-spending-9187-03092026-132004__spending-part__fb1ab6,-0.00181,-8e-05,1.02721,1.34754,1.07767,0.07767,0.45594,-0.0,0.8307,census,-0.00208,-0.00011
cbad-audit__public-spending-9187-03092026-132004__spending-part__fb1ab6,-0.0018,-8e-05,1.02533,1.34467,1.07842,0.07842,0.45357,-0.0,0.83198,census,-0.00199,-8e-05
archive__stock-analysis-project-cbad-tiers__spy-daily__a50393,-0.00176,-0.00095,0.99102,1.63394,1.03268,0.02203,0.10071,0.02202,0.74628,equity_markets,-0.03022,-0.02551
archive__cbad-audit-public__state-of-maryland-payments-data-__d30106,-0.00175,-0.00028,1.02029,1.39094,1.01764,0.0166,0.38497,0.00368,0.82005,unresolved,-0.00293,-0.00054
archive__cbad-public__h1b-kaggle__3090b7,-0.0017,-8e-05,1.25738,1.66805,1.0,0.0,0.66805,0.0,0.67764,unresolved,-0.00196,-0.00083
archive__roughness-indexdepr-archive__xom-daily__f4d79b,-0.00161,-0.00189,1.01513,1.66295,1.03108,0.02231,0.09243,0.01952,0.72687,equity_markets,-0.03442,-0.03016
data-hold__erm-co-indicators__sp-constituents-pre-rebuild-bak__d50d72,-0.00161,-0.00223,1.00064,1.58344,1.03523,0.02451,0.13651,0.01713,0.75886,corporate_financials,-0.00457,-0.00425
erm-co-indicators__x__sp-sample-panel__367bb4,-0.00158,-0.0012,1.00882,1.4902,1.03964,0.03295,0.24565,0.01109,0.78917,corporate_financials,-0.00347,-0.00235
