dataset_id,tier,g0,level,max_abs_z,z_rounding_mass,z_trail10,z_grid_conform,z_c2_share,z_c5_share,z_tv100,z_tv25,z_tv49,z_tv47,z_tv43,z_rm_digit_split,inj_mean_coreD,host_mean_coreD
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,a_naive,100000,mixture_f10,20.489,-15.48,-1.314,6.721,-10.106,-13.938,0.033,0.033,1.891,-0.101,0.85,20.489,,
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,b_magmatch,100000,mixture_f10,2.86,0.011,-0.009,0.005,0.0,0.015,0.065,0.065,-0.075,-2.102,-2.86,-0.253,,
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,c_basematch,100000,mixture_f10,2.868,-0.439,-0.063,-0.021,-0.273,-0.447,0.038,0.038,-0.82,-0.764,-2.427,2.868,,
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,b10_offgrid_retrospective,100000,mixture_f10,995.328,-54.971,-59.018,-25.042,-29.326,-57.283,-995.328,-944.37,-2.739,-2.051,-3.438,0.16,6.194,2.541
cp-discovery__cook-sale-price-parquet__market-value__fd729316,a_naive,100000,mixture_f10,21.45,-14.605,-1.928,5.513,-8.185,-14.694,0.0,0.0,2.969,-1.515,2.724,21.45,,
cp-discovery__cook-sale-price-parquet__market-value__fd729316,b_magmatch,100000,mixture_f10,1.846,0.023,-0.031,-0.047,-0.07,0.074,0.0,0.0,0.768,-1.846,0.717,0.044,,
cp-discovery__cook-sale-price-parquet__market-value__fd729316,c_basematch,100000,mixture_f10,1.877,-0.418,0.079,0.127,-0.235,-0.441,0.0,0.0,-0.875,-1.519,-0.052,1.877,,
cp-discovery__cook-sale-price-parquet__market-value__fd729316,b10_offgrid_retrospective,100000,mixture_f10,94866666.667,-55.924,-59.346,-27.37,-28.758,-56.469,-94866666.667,-90466666.667,-1.511,-2.757,-2.265,0.906,6.268,2.492
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,a_naive,100000,mixture_f10,17.916,-14.562,-1.321,6.226,-8.439,-13.849,-0.08,-0.08,1.437,1.731,3.283,17.916,,
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,b_magmatch,100000,mixture_f10,1.432,0.232,0.089,0.089,0.025,0.299,0.022,0.022,-0.825,-1.432,-0.001,0.152,,
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,c_basematch,100000,mixture_f10,1.884,-0.352,0.006,0.086,-0.202,-0.357,0.009,0.009,-1.884,-1.261,-1.581,0.066,,
waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,b10_offgrid_retrospective,100000,mixture_f10,1099.212,-52.608,-55.195,-27.342,-27.979,-54.719,-1099.212,-1046.326,-2.67,-3.116,-2.95,-1.118,6.228,2.55
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,a_naive,100,mixture_f10,13.729,-13.729,-4.118,0.25,-12.55,-9.544,0.25,0.247,-0.545,1.099,3.259,-0.53,,
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,b_magmatch,100,mixture_f10,1.788,0.256,-0.015,0.033,0.176,0.214,0.033,0.033,-1.788,-0.285,-0.269,-0.268,,
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,c_basematch,100,mixture_f10,1.748,-0.433,-0.001,0.108,-0.179,-0.483,0.108,0.111,0.259,1.748,-0.922,1.219,,
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,b10_offgrid_retrospective,100,mixture_f10,197.147,-23.194,-56.82,-197.147,-8.651,-26.248,-197.147,-184.704,-2.526,-2.673,-2.981,-3.57,3.489,2.661
cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,a_naive,1000,mixture_f10,7.007,-6.651,-6.728,1.084,-7.007,-3.854,0.0,0.0,-5.519,-1.896,-1.327,-0.916,,
cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,b_magmatch,1000,mixture_f10,6.489,0.025,-0.102,-0.087,0.101,-0.052,0.0,0.0,-6.489,-3.06,-2.672,0.122,,
cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,c_basematch,1000,mixture_f10,2.187,-0.706,-0.125,-0.106,-0.45,-0.667,0.0,0.0,-0.351,-1.727,-2.187,-0.918,,
cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,b10_offgrid_retrospective,1000,mixture_f10,96066666.667,-42.716,-63.722,-112.494,-17.224,-48.974,-96066666.667,-91133333.333,-5.417,-3.518,-2.904,-1.819,5.985,3.389
cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,a_naive,100,mixture_f10,7.6,-6.649,-5.144,0.0,-7.6,-4.035,0.0,0.0,-1.644,-2.525,-3.992,-1.449,,
cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,b_magmatch,100,mixture_f10,1.673,0.132,0.067,0.0,0.132,0.09,0.0,0.0,-1.337,-1.527,-1.673,0.021,,
cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,c_basematch,100,mixture_f10,2.505,0.17,0.131,0.0,0.154,0.136,0.0,0.0,-2.505,-1.584,-1.99,-0.706,,
cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,b10_offgrid_retrospective,100,mixture_f10,94066666.667,-19.915,-31.58,-94066666.667,-8.196,-23.678,-94066666.667,-88333333.333,-1.01,-2.036,-2.936,-1.814,6.192,5.056
