tier,f,dataset_id,keff_core_median,q95,recovered,effect_in_bands
a_naive,0.01,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,0.99791,0.9971,True,-1.002398081534788
a_naive,0.01,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,0.99743,0.99772,False,-1.0889830508474279
a_naive,0.01,cp-discovery__cook-sale-price-parquet__market-value__fd729316,0.99911,0.99875,True,-0.449494949494914
a_naive,0.01,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,0.99703,0.99749,False,-1.0000000000000187
a_naive,0.01,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.00353,1.00473,False,0.8286384976526034
a_naive,0.01,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,0.99894,0.99846,True,-0.4930232558139336
a_naive,0.05,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.00859,0.9971,True,4.119904076738649
a_naive,0.05,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.00605,0.99772,True,2.563559322033914
a_naive,0.05,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.00848,0.99875,True,4.282828282828224
a_naive,0.05,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.00729,0.99749,True,2.4545454545454835
a_naive,0.05,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.0169,1.00473,True,3.9671361502347864
a_naive,0.05,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.00921,0.99846,True,4.28372093023256
a_naive,0.1,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.0222,0.9971,True,10.64748201438847
a_naive,0.1,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.01705,0.99772,True,7.224576271186357
a_naive,0.1,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.02054,0.99875,True,10.37373737373718
a_naive,0.1,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.01978,0.99749,True,6.65993265993269
a_naive,0.1,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.03426,1.00473,True,8.04225352112688
a_naive,0.1,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.02199,0.99846,True,10.227906976744235
a_naive,0.25,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.04536,0.9971,True,21.755395683453234
a_naive,0.25,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.05018,0.99772,True,21.262711864406473
a_naive,0.25,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.03816,0.99875,True,19.272727272726897
a_naive,0.25,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.05969,0.99749,True,20.09764309764329
a_naive,0.25,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.09042,1.00473,True,21.22535211267639
a_naive,0.25,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.04685,0.99846,True,21.79069767441878
b_magmatch,0.01,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,0.99773,0.9971,True,-1.0887290167865662
b_magmatch,0.01,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,0.99744,0.99772,False,-1.084745762711854
b_magmatch,0.01,cp-discovery__cook-sale-price-parquet__market-value__fd729316,0.99903,0.99875,True,-0.489898989898994
b_magmatch,0.01,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,0.99706,0.99749,False,-0.989898989899017
b_magmatch,0.01,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.00366,1.00473,False,0.859154929577478
b_magmatch,0.01,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,0.99888,0.99846,True,-0.5209302325581477
b_magmatch,0.05,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.00811,0.9971,True,3.8896882494005025
b_magmatch,0.05,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.00541,0.99772,True,2.292372881355868
b_magmatch,0.05,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.0077,0.99875,True,3.888888888888836
b_magmatch,0.05,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.00731,0.99749,True,2.4612794612794597
b_magmatch,0.05,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.01727,1.00473,True,4.053990610328681
b_magmatch,0.05,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.00866,0.99846,True,4.027906976744163
b_magmatch,0.1,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.02193,0.9971,True,10.517985611510776
b_magmatch,0.1,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.017,0.99772,True,7.203389830508346
b_magmatch,0.1,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.01984,0.99875,True,10.020202020201872
b_magmatch,0.1,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.01981,0.99749,True,6.670033670033767
b_magmatch,0.1,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.03513,1.00473,True,8.246478873239596
b_magmatch,0.1,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.02139,0.99846,True,9.948837209302404
b_magmatch,0.25,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.04649,0.9971,True,22.297362110311674
b_magmatch,0.25,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.04999,0.99772,True,21.182203389830242
b_magmatch,0.25,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.03773,0.99875,True,19.055555555555216
b_magmatch,0.25,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.05951,0.99749,True,20.037037037037205
b_magmatch,0.25,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.09057,1.00473,True,21.260563380282047
b_magmatch,0.25,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.0479,0.99846,True,22.27906976744204
c_basematch,0.01,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,0.99672,0.9971,False,-1.5731414868105247
c_basematch,0.01,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,0.99642,0.99772,False,-1.5169491525423662
c_basematch,0.01,cp-discovery__cook-sale-price-parquet__market-value__fd729316,0.99806,0.99875,False,-0.979797979797988
c_basematch,0.01,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,0.99591,0.99749,False,-1.3771043771044027
c_basematch,0.01,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.0029,1.00473,False,0.6807511737089085
c_basematch,0.01,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,0.99778,0.99846,False,-1.0325581395348906
c_basematch,0.05,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.00304,0.9971,True,1.4580335731414515
c_basematch,0.05,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.00115,0.99772,True,0.48728813559320777
c_basematch,0.05,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.00356,0.99875,True,1.797979797979768
c_basematch,0.05,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.00095,0.99749,True,0.31986531986532496
c_basematch,0.05,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.0152,1.00473,True,3.568075117370974
c_basematch,0.05,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.00438,0.99846,True,2.037209302325619
c_basematch,0.1,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.01188,0.9971,True,5.697841726618643
c_basematch,0.1,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.00717,0.99772,True,3.038135593220259
c_basematch,0.1,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.01053,0.99875,True,5.318181818181682
c_basematch,0.1,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.0068,0.99749,True,2.2895622895622827
c_basematch,0.1,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.03024,1.00473,True,7.098591549295901
c_basematch,0.1,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.01265,0.99846,True,5.883720930232622
c_basematch,0.25,archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,1.02627,0.9971,True,12.599520383693031
c_basematch,0.25,cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,1.02541,0.99772,True,10.766949152542214
c_basematch,0.25,cp-discovery__cook-sale-price-parquet__market-value__fd729316,1.02254,0.99875,True,11.383838383838171
c_basematch,0.25,cp-discovery__ct-assess-av-parquet__assessed-value__c22984b3,1.02716,0.99749,True,9.144781144781254
c_basematch,0.25,cp-discovery__williamson-asmt-2025-csv__assessed__ab51c4d2,1.07734,1.00473,True,18.154929577465076
c_basematch,0.25,waterfall-msa-deployed__real-estate-normalized-csv__amount__07db20b3,1.02937,0.99846,True,13.660465116279115
