n_res,tv_mod2,z_mod2,tv_mod3,z_mod3,tv_mod5,z_mod5,tv_mod7,z_mod7,tv_mod11,z_mod11,tv_mod13,z_mod13,tv_mod17,z_mod17,tv_mod19,z_mod19,tv_mod23,z_mod23,tv_mod29,z_mod29,tv_mod31,z_mod31,tv_mod37,z_mod37,tv_mod41,z_mod41,tv_mod43,z_mod43,tv_mod47,z_mod47,tv_mod4,z_mod4,tv_mod8,z_mod8,tv_mod9,z_mod9,tv_mod25,z_mod25,tv_mod27,z_mod27,tv_mod49,z_mod49,resonance_score,n_moduli_scored,lattice_gcd,lattice_offset,control,alpha,alpha_se,classification
100000,0.0016,0.016971,0.002873,1.09524,0.00289,0.529517,0.004379,1.289165,0.003365,-0.812779,0.004915,0.342716,0.003355,-1.688196,0.003984,-1.10657,0.006599,0.620492,0.009214,3.316242,0.006471,-0.403624,0.008381,1.386568,0.010105,1.802955,0.009402,0.80669,0.011088,2.539628,0.00182,-0.262585,0.00417,0.995281,0.004176,0.11259,0.00836,2.250728,0.007076,0.26252,0.009588,0.909198,0.005908,15,1,0,generic_loguniform_rep0,0.102148,0.010477,resonant
100000,0.00094,-0.457187,0.003083,1.52553,0.00189,-0.651564,0.004051,0.460991,0.003295,-0.773326,0.004525,0.616728,0.005088,0.334186,0.005096,-0.74386,0.007577,2.359453,0.005764,-0.952156,0.007083,0.997025,0.005652,-1.778975,0.009136,1.360788,0.008592,-0.038939,0.006952,-1.860259,0.00195,-0.361806,0.00327,-0.430269,0.004226,0.25947,0.00494,-1.070768,0.007329,0.446811,0.009794,1.024922,0.005248,15,1,0,generic_loguniform_rep1,0.112236,0.016696,resonant
100000,0.00036,-0.67045,0.001973,-0.05472,0.0048,2.610568,0.002636,-0.641113,0.003985,0.01987,0.004922,0.236943,0.005852,0.727687,0.006374,0.743967,0.004919,-0.951202,0.007729,0.923096,0.006569,-0.739879,0.008151,0.467987,0.008275,0.200777,0.00906,0.642106,0.007725,-0.906702,0.00192,-0.451098,0.00354,-0.014282,0.004586,1.196865,0.00929,4.002192,0.006071,-0.170612,0.009872,1.502721,0.005555,15,1,0,generic_loguniform_rep2,0.09521,0.021813,resonant
100000,0.00163,0.044378,0.001063,-0.70989,0.00158,-0.854963,0.857143,173203.348706,0.009116,8.430334,0.008632,5.41218,0.011612,11.078691,0.012376,13.140263,0.014659,17.068497,0.019194,22.063567,0.018737,18.968778,0.020368,24.124876,0.024565,37.524311,0.027495,45.616407,0.027375,37.626224,0.00367,1.701807,0.00568,4.839823,0.006186,3.61971,0.01598,15.633996,0.015956,18.126299,0.857143,61251.601772,0.07037,15,7,3,resonant_mod7_r3_rep0,0.046343,0.007828,resonant
100000,0.00041,-0.659561,0.003677,2.06763,0.00576,5.547041,0.857143,173203.348706,0.006745,3.665846,0.008192,4.754243,0.007631,3.344559,0.011304,8.378103,0.014149,13.184476,0.017144,17.064058,0.019087,25.79401,0.020854,24.177725,0.023636,33.518131,0.023031,29.911931,0.025891,37.593099,0.00303,1.226933,0.00514,2.678642,0.005373,3.387915,0.01605,19.264013,0.01592,15.130618,0.857143,61243.272337,0.069644,15,7,3,resonant_mod7_r3_rep1,0.047721,0.007042,resonant
100000,0.00135,-0.191626,0.001517,-0.47697,0.00185,-0.744866,0.857143,173203.348706,0.009174,8.206258,0.007382,3.225178,0.010642,8.313543,0.011246,7.437033,0.012866,12.27207,0.016204,17.593733,0.016521,18.403684,0.018344,20.179328,0.022536,29.829985,0.024824,35.15198,0.023701,30.641833,0.00227,-0.016232,0.00523,2.022719,0.008396,6.372945,0.01522,14.050613,0.015679,16.033426,0.857143,61244.866269,0.06902,15,7,3,resonant_mod7_r3_rep2,0.040401,0.005625,resonant
100000,0.5,70709.971012,0.666667,99999.0,0.8,141419.942024,0.011899,23.564072,0.022915,60.659462,0.024802,69.295706,0.032955,112.075537,0.037407,129.626097,0.040177,143.840642,0.049192,199.887126,0.054841,237.588073,0.059969,276.391799,0.064607,308.855932,0.067044,328.923972,0.069651,344.539165,0.5,40823.818583,0.5,26736.895418,0.666667,50004.827145,0.8,57768.036055,0.666667,27789.448713,0.068689,341.263182,0.166808,15,30,7,resonant_ap30_b7_rep0,0.039209,0.002327,resonant
100000,0.5,70709.971012,0.666667,99999.0,0.8,141419.942024,0.014819,34.476598,0.021665,59.748644,0.027352,74.868454,0.032935,103.10254,0.038209,130.094827,0.040517,154.08377,0.04878,197.342534,0.049229,207.861002,0.059413,265.40083,0.061727,282.712718,0.064014,305.740012,0.064768,310.864874,0.5,40824.722085,0.5,26732.927807,0.666667,50004.996885,0.8,57762.549784,0.666667,27799.234622,0.071498,362.23235,0.166006,15,30,7,resonant_ap30_b7_rep1,0.039024,0.002459,resonant
100000,0.5,70709.971012,0.666667,99999.0,0.8,141419.942024,0.015199,30.478754,0.023835,63.14762,0.029252,88.126652,0.035975,121.763834,0.035649,120.96976,0.042216,148.115853,0.050547,206.761344,0.051279,219.833713,0.060463,275.963773,0.063207,313.556854,0.064567,302.589265,0.066258,327.904834,0.5,40824.858963,0.5,26749.973943,0.666667,50005.406295,0.8,57750.7263,0.666667,27806.804849,0.070218,368.267006,0.167007,15,30,7,resonant_ap30_b7_rep2,0.038085,0.001738,resonant
100000,0.00032,-0.678144,0.666667,99999.0,0.00182,-0.900359,0.003227,0.78362,0.004315,0.288269,0.005455,0.900081,0.005495,1.372484,0.007023,2.13863,0.009367,4.726009,0.008104,2.595128,0.012043,6.180923,0.011664,4.568419,0.011695,4.826063,0.013996,8.715557,0.014215,6.763407,0.00195,-0.469094,0.00422,1.045312,0.666667,50000.17752,0.00733,0.577928,0.666667,27736.322335,0.017532,13.162449,0.051694,15,3,0,resonant_mult3_rep0,0.031067,0.000767,resonant
100000,0.00075,-0.548008,0.666667,99999.0,0.00326,0.429178,0.003281,0.204521,0.006335,2.079995,0.005142,0.772071,0.007888,5.445436,0.008874,3.29345,0.008482,2.6978,0.012081,6.876701,0.010937,5.245636,0.011679,4.416412,0.013735,8.002733,0.013404,7.189634,0.013905,6.975581,0.00106,-0.949259,0.00178,-1.427603,0.666667,50000.626485,0.00846,2.867049,0.666667,27736.887338,0.01457,8.878357,0.052428,15,3,0,resonant_mult3_rep1,0.030702,0.000588,resonant
100000,0.00094,-0.457187,0.666667,99999.0,0.00302,-0.05077,0.002034,-0.579198,0.003375,-0.603461,0.003235,-0.918122,0.006505,2.289972,0.006654,0.99654,0.008629,3.406949,0.009364,3.851031,0.011201,5.238672,0.010192,4.019695,0.011946,6.516895,0.01327,6.567422,0.012091,5.345125,0.00185,-0.456879,0.00386,1.248431,0.666667,50000.77422,0.00953,4.494888,0.666667,27734.015217,0.010824,2.573944,0.051275,15,3,0,resonant_mult3_rep2,0.029199,0.000595,resonant
